ID,Titulo,PS4P,PS4S,PS5P,PS5S,URL
,Assassins Creed Unity,14,3,6,NULL,
1182,Batman: Arkham Knight Premium Edition,10,5,"10,5",NULL,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/Qsyx0vsXd6yI1JcqE8wtN3vUiDFjq6xR.png?w=1024&
